hotelId|instanceCode|hotelName|location|district|address|pincode|startDate|endDate|totalRooms|occupiedRooms|availableRooms
HOTEL-001|1|ITC Chennai|Chennai|Chennai|1, Anna Salai, Chennai|600000|2025-09-01|2025-09-15|100|30|70
HOTEL-001|2|ITC Chennai|Chennai|Chennai|1, Anna Salai, Chennai|600000|2025-09-20|2025-09-30|100|25|75
HOTEL-001|3|ITC Chennai|Chennai|Chennai|1, Anna Salai, Chennai|600000|2025-10-05|2025-10-20|100|40|60
HOTEL-002|1|Taj Coimbatore|Coimbatore|Coimbatore|2, Anna Salai, Coimbatore|600001|2025-09-01|2025-09-15|120|35|85
HOTEL-002|2|Taj Coimbatore|Coimbatore|Coimbatore|2, Anna Salai, Coimbatore|600001|2025-09-20|2025-09-30|120|29|91
HOTEL-002|3|Taj Coimbatore|Coimbatore|Coimbatore|2, Anna Salai, Coimbatore|600001|2025-10-05|2025-10-20|120|46|74
HOTEL-003|1|Marriott Madurai|Madurai|Madurai|3, Anna Salai, Madurai|600002|2025-09-01|2025-09-15|140|40|100
HOTEL-003|2|Marriott Madurai|Madurai|Madurai|3, Anna Salai, Madurai|600002|2025-09-20|2025-09-30|140|33|107
HOTEL-003|3|Marriott Madurai|Madurai|Madurai|3, Anna Salai, Madurai|600002|2025-10-05|2025-10-20|140|52|88
HOTEL-004|1|Hyatt Salem|Salem|Salem|4, Anna Salai, Salem|600003|2025-09-01|2025-09-15|160|45|115
HOTEL-004|2|Hyatt Salem|Salem|Salem|4, Anna Salai, Salem|600003|2025-09-20|2025-09-30|160|37|123
HOTEL-005|1|Radisson Tirunelveli|Tirunelveli|Tirunelveli|5, Anna Salai, Tirunelveli|600004|2025-09-01|2025-09-15|180|50|130
HOTEL-005|2|Radisson Tirunelveli|Tirunelveli|Tirunelveli|5, Anna Salai, Tirunelveli|600004|2025-09-20|2025-09-30|180|41|139
